event_id,campaign,flight,time,channel,x,y,source
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,277,447,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,232,250,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,232,200,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,208,177,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,220,341,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,225,348,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,140,355,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,158,337,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,149,282,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,112,277,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,153,242,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,124,209,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,75,190,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,60,220,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,39,195,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,3,245,303,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,478,110,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,457,84,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,414,75,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,385,74,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,352,76,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,335,77,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,316,66,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,296,62,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,237,56,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,205,73,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,178,87,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,151,104,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,122,126,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,101,145,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,77,161,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,193,298,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,216,291,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,258,300,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,285,312,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,284,331,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,395,439,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,319,413,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,260,407,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,140,359,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:12.000000,1,179,369,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,260,160,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,298,163,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,302,140,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,260,124,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,227,119,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,211,136,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,415,270,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,465,279,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,515,314,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,268,239,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,319,243,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,330,266,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,160,189,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,195,200,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,220,221,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,90,185,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,544,290,manual
